conductivity,coords,dT_dt,density,object,object_id,temperature,viscosity,zminus_index,zplus_index
0.0,0.0,0.0,0.0,boundary,C497,2000.0,0.0,500,1
0.0,20.0,0.0,0.0,boundary,C498,2000.0,0.0,0,2
80.0,40.0,-1.893055741675198e-06,0.0,0.1,B0,2000.8619199524271,0.0,1,3
80.0,60.0,-3.6373210605233906e-06,0.0,0.1,B1,2001.7238308115516,0.0,2,4
80.0,80.0,-5.678895195160294e-06,0.0,0.1,B2,2002.5857227407987,0.0,3,5
80.0,100.0,-7.274191057149438e-06,0.0,0.1,B3,2003.4475873912656,0.0,4,6
80.0,120.0,-9.463918468100019e-06,0.0,0.1,B4,2004.3094141846982,0.0,5,7
80.0,140.0,-1.0910158744081853e-05,0.0,0.1,B5,2005.1711955172564,0.0,6,8
80.0,160.0,-1.3247581546238508e-05,0.0,0.1,B6,2006.0329200710644,0.0,7,9
80.0,180.0,-1.4544772966473829e-05,0.0,0.1,B7,2006.8945809875433,0.0,8,10
80.0,200.0,-1.7029340551744098e-05,0.0,0.1,B8,2007.7561662117168,0.0,9,11
80.0,220.0,-1.817758234210487e-05,0.0,0.1,B9,2008.6176696300022,0.0,10,12
80.0,240.0,-2.08086515613104e-05,0.0,0.1,B10,2009.4790784533075,0.0,11,13
80.0,260.0,-2.180813571612816e-05,0.0,0.1,B11,2010.3403873123173,0.0,12,14
80.0,280.0,-2.4584970697105748e-05,0.0,0.1,B12,2011.2015826872716,0.0,13,15
80.0,300.0,-2.5435981569899013e-05,0.0,0.1,B13,2012.0626599519326,0.0,14,16
80.0,320.0,-2.8357754399621626e-05,0.0,0.1,B14,2012.9236048597809,0.0,15,17
80.0,340.0,-2.9060668111924315e-05,0.0,0.1,B15,2013.784413526005,0.0,16,18
80.0,360.0,-3.212645942767267e-05,0.0,0.1,B16,2014.6450709816945,0.0,17,19
80.0,380.0,-3.268174368713517e-05,0.0,0.1,B17,2015.5055740813546,0.0,18,20
80.0,400.0,-3.589054272197245e-05,0.0,0.1,B18,2016.365907138509,0.0,19,21
80.0,420.0,-3.629875591286691e-05,0.0,0.1,B19,2017.2260677444149,0.0,20,22
80.0,440.0,-3.9649461405133474e-05,0.0,0.1,B20,2018.0860395003103,0.0,21,23
80.0,460.0,-3.991125272477802e-05,0.0,0.1,B21,2018.945820731184,0.0,22,24
80.0,480.0,-4.340267305451562e-05,0.0,0.1,B22,2019.8053943317216,0.0,23,25
80.0,500.0,-4.3518781421880706e-05,0.0,0.1,B23,2020.6647593571738,0.0,24,26
80.0,520.0,-4.71496353384282e-05,0.0,0.1,B24,2021.523898001855,0.0,25,27
80.0,540.0,-4.712088962151029e-05,0.0,0.1,B25,2022.3828100473586,0.0,26,28
80.0,560.0,-5.088980642540264e-05,0.0,0.1,B26,2023.241476994258,0.0,27,29
80.0,580.0,-5.071712389508321e-05,0.0,0.1,B27,2024.0998993461235,0.0,28,30
80.0,600.0,-5.462264516609139e-05,0.0,0.1,B28,2024.9580579168598,0.0,29,31
80.0,620.0,-5.430703081401588e-05,0.0,0.1,B29,2025.8159539272096,0.0,30,32
80.0,640.0,-5.83476106839953e-05,0.0,0.1,B30,2026.6735675119196,0.0,31,33
80.0,660.0,-5.789015690425004e-05,0.0,0.1,B31,2027.5309006036605,0.0,32,34
80.0,680.0,-6.206416237546364e-05,0.0,0.1,B32,2028.3879326659685,0.0,33,35
80.0,700.0,-6.146604810055578e-05,0.0,0.1,B33,2029.244666337764,0.0,34,36
80.0,720.0,-6.577176054634037e-05,0.0,0.1,B34,2030.1010804197524,0.0,35,37
80.0,740.0,-6.50342501103296e-05,0.0,0.1,B35,2030.9571782509952,0.0,36,38
80.0,760.0,-6.946986586626735e-05,0.0,0.1,B36,2031.812937978172,0.0,37,39
80.0,780.0,-6.859430809527111e-05,0.0,0.1,B37,2032.668363633953,0.0,38,40
80.0,800.0,-7.315793991438113e-05,0.0,0.1,B38,2033.52343272022,0.0,39,41
80.0,820.0,-7.214576721708e-05,0.0,0.1,B39,2034.3781499562983,0.0,40,42
80.0,840.0,-7.68354445881414e-05,0.0,0.1,B40,2035.2324922089156,0.0,41,43
80.0,860.0,-7.568817213723377e-05,0.0,0.1,B41,2036.0864648766847,0.0,42,44
80.0,880.0,-8.05018427399773e-05,0.0,0.1,B42,2036.9400442012352,0.0,43,45
80.0,900.0,-7.922106710793742e-05,0.0,0.1,B43,2037.7932362526876,0.0,44,46
80.0,920.0,-8.415659804086318e-05,0.0,0.1,B44,2038.646016658038,0.0,45,47
80.0,940.0,-8.274399601759796e-05,0.0,0.1,B45,2039.4983921507305,0.0,46,48
80.0,960.0,-8.779917502579337e-05,0.0,0.1,B46,2040.3503377539905,0.0,47,49
80.0,980.0,-8.625650257272356e-05,0.0,0.1,B47,2041.201860856004,0.0,48,50
80.0,1000.0,-9.142903900283272e-05,0.0,0.1,B48,2042.0529358874826,0.0,49,51
80.0,1020.0,-8.975813007054966e-05,0.0,0.1,B49,2042.9035708823794,0.0,50,52
80.0,1040.0,-9.504565646238916e-05,0.0,0.1,B50,2043.7537396905377,0.0,51,53
80.0,1060.0,-9.324842135356449e-05,0.0,0.1,B51,2044.603450982317,0.0,52,54
80.0,1080.0,-9.864849475889059e-05,0.0,0.1,B52,2045.4526780387187,0.0,53,55
80.0,1100.0,-9.672691917330666e-05,0.0,0.1,B53,2046.3014301567691,0.0,54,56
80.0,1120.0,-0.00010223702242910803,0.0,0.1,B54,2047.1496800610262,0.0,55,57
80.0,1140.0,-0.00010019316605394124,0.0,0.1,B55,2047.9974376650705,0.0,56,58
80.0,1160.0,-0.00010581070882835775,0.0,0.1,B56,2048.844675149787,0.0,57,59
80.0,1180.0,-0.00010364670406488586,0.0,0.1,B57,2049.691403034827,0.0,58,60
80.0,1200.0,-0.00010936902535831904,0.0,0.1,B58,2050.5375929705324,0.0,59,61
80.0,1220.0,-0.00010708707486628555,0.0,0.1,B59,2051.3832560717906,0.0,60,62
80.0,1240.0,-0.00011291144382994388,0.0,0.1,B60,2052.2283634718756,0.0,61,63
80.0,1260.0,-0.00011051382061850745,0.0,0.1,B61,2053.072926869722,0.0,62,64
80.0,1280.0,-0.00011643743782769888,0.0,0.1,B62,2053.916916895364,0.0,63,65
80.0,1300.0,-0.00011392648266337347,0.0,0.1,B63,2054.760345820248,0.0,64,66
80.0,1320.0,-0.00011994648239124218,0.0,0.1,B64,2055.6031837853316,0.0,65,67
80.0,1340.0,-0.00011732460243365495,0.0,0.1,B65,2056.445443622702,0.0,66,68
80.0,1360.0,-0.00012343805419732235,0.0,0.1,B66,2057.287094998731,0.0,67,69
80.0,1380.0,-0.00012070772108927485,0.0,0.1,B67,2058.1281512939513,0.0,68,70
80.0,1400.0,-0.000126911631468829,0.0,0.1,B68,2058.9685817149575,0.0,69,71
80.0,1420.0,-0.00012407538006300455,0.0,0.1,B69,2059.808400178211,0.0,70,72
80.0,1440.0,-0.00013036669379289377,0.0,0.1,B70,2060.6475754456515,0.0,71,73
80.0,1460.0,-0.000127427120514767,0.0,0.1,B71,2061.48612195684,0.0,72,74
80.0,1480.0,-0.00013380272321228404,0.0,0.1,B72,2062.324008044486,0.0,73,75
80.0,1500.0,-0.00013076248387733358,0.0,0.1,B73,2063.1612486581216,0.0,74,76
80.0,1520.0,-0.00013721920286116073,0.0,0.1,B74,2063.997811716941,0.0,75,77
80.0,1540.0,-0.00013408101140157668,0.0,0.1,B75,2064.833712667023,0.0,76,78
